"x","y","p"
79,71,5
79,72,4
79,73,4
79,74,5
79,75,4
79,76,5
79,77,4
79,78,5
79,79,5
79,80,5
79,81,5
79,82,5
79,83,5
79,84,4
79,85,5
79,86,4
79,87,5
79,88,5
79,89,4
79,90,4
79,91,4
79,92,4
79,93,1
79,94,4
79,95,4
79,96,4
79,97,1
79,98,1
79,99,1
79,100,1
79,101,0
79,102,0
79,103,0
79,104,0
79,105,0
79,106,0
79,107,3
79,108,5
79,109,5
79,110,0
79,111,0
79,112,0
79,113,0
79,114,0
79,115,0
79,116,0
79,117,0
79,118,0
79,119,0
79,120,0
79,121,1
79,122,0
79,123,0
79,124,0
80,44,0
80,45,0
80,46,0
80,47,0
80,48,0
80,49,0
80,50,0
80,51,0
80,52,0
80,53,1
80,54,0
80,55,0
80,56,3
80,57,4
80,58,4
80,59,1
80,60,2
80,61,5
80,62,5
80,63,5
80,64,5
80,65,5
80,66,5
80,67,5
80,68,4
80,69,5
80,70,3
80,71,4
80,72,0
80,73,5
80,74,4
80,75,5
80,76,5
80,77,5
80,78,3
80,79,5
80,80,5
80,81,4
80,82,5
80,83,0
80,84,0
80,85,0
80,86,0
80,87,0
80,88,0
80,89,5
80,90,5
80,91,5
80,92,5
80,93,1
80,94,4
80,95,2
80,96,4
80,97,0
80,98,0
80,99,0
80,100,0
80,101,0
80,102,0
80,103,0
80,104,0
80,105,0
80,106,0
80,107,0
80,108,0
80,109,5
80,110,1
80,111,5
80,112,0
80,113,0
80,114,0
80,115,0
80,116,2
80,117,5
80,118,5
80,119,0
80,120,1
80,121,0
80,122,0
80,123,0
81,44,0
81,45,0
81,46,0
81,47,0
81,48,0
81,49,0
81,50,0
81,51,0
81,52,0
81,53,5
81,54,5
81,55,5
81,56,3
81,57,4
81,58,5
81,59,5
81,60,5
81,61,5
81,62,3
81,63,5
81,64,5
81,65,5
81,66,5
81,67,5
81,68,5
81,69,5
81,70,5
81,71,3
81,72,5
81,73,5
81,74,4
81,75,5
81,76,4
81,77,5
81,78,2
81,79,0
81,80,1
81,81,2
81,82,0
81,83,0
81,84,0
81,85,0
81,86,0
81,87,0
81,88,0
81,89,0
81,90,0
81,91,0
81,92,0
81,93,0
81,94,0
81,95,0
81,96,0
81,97,0
81,98,0
81,99,0
81,100,0
81,101,0
81,102,0
81,103,0
81,104,0
81,105,0
81,106,1
81,107,0
81,108,0
81,109,0
81,110,0
81,111,1
81,112,0
81,113,1
81,114,4
81,115,5
81,116,5
81,117,5
81,118,5
81,119,5
81,120,0
81,121,0
81,122,0
81,123,0
82,35,4
82,36,2
82,44,0
82,45,0
82,46,0
82,47,0
82,48,0
82,49,0
82,50,0
82,51,0
82,52,0
82,53,5
82,54,5
82,55,5
82,56,4
82,57,5
82,58,5
82,59,5
82,60,5
82,61,5
82,62,5
82,63,3
82,64,5
82,65,5
82,66,4
82,67,3
82,68,5
82,69,5
82,70,5
82,71,5
82,72,5
82,73,5
82,74,5
82,75,5
82,76,5
82,77,4
82,78,5
82,79,0
82,80,0
82,81,0
82,82,0
82,83,0
82,84,0
82,85,0
82,86,0
82,87,0
82,88,0
82,89,0
82,90,0
82,91,0
82,92,0
82,93,0
82,94,0
82,95,0
82,96,0
82,97,0
82,98,0
82,99,0
82,100,0
82,101,0
82,102,0
82,103,0
82,104,0
82,105,1
82,106,0
82,107,0
82,108,0
82,109,0
82,110,0
82,111,0
82,112,1
82,113,4
82,114,4
82,115,5
82,116,3
82,117,5
82,118,4
82,119,0
82,120,0
82,121,0
82,122,0
83,34,0
83,35,3
83,36,5
83,37,0
83,38,0
83,45,1
83,46,0
83,47,0
83,48,0
83,49,0
83,50,0
83,51,4
83,52,3
83,53,5
83,54,5
83,55,5
83,56,5
83,57,5
83,58,5
83,59,1
83,60,5
83,61,5
83,62,5
83,63,5
83,64,5
83,65,5
83,66,5
83,67,3
83,68,5
83,69,4
83,70,5
83,71,5
83,72,5
83,73,5
83,74,5
83,75,5
83,76,5
83,77,5
83,78,5
83,79,5
83,80,4
83,81,0
83,82,0
83,83,0
83,84,1
83,85,1
83,86,1
83,87,0
83,88,0
83,89,5
83,90,0
83,91,0
83,92,0
83,93,0
83,94,0
83,95,0
83,96,0
83,97,0
83,98,0
83,99,0
83,100,0
83,101,0
83,102,0
83,103,0
83,104,0
83,105,0
83,106,0
83,107,0
83,108,0
83,109,0
83,110,0
83,111,0
83,112,2
83,113,0
83,114,3
83,115,3
83,116,2
83,117,4
83,118,5
83,119,5
83,120,0
83,121,0
84,32,0
84,33,0
84,34,5
84,35,5
84,36,5
84,37,5
84,38,2
84,39,0
84,44,1
84,45,3
84,46,4
84,47,3
84,48,5
84,49,0
84,50,5
84,51,5
84,52,3
84,53,4
84,54,5
84,55,5
84,56,5
84,57,5
84,58,5
84,59,2
84,60,3
84,61,5
84,62,5
84,63,5
84,64,5
84,65,5
84,66,4
84,67,5
84,68,4
84,69,4
84,70,2
84,71,0
84,72,5
84,73,3
84,74,5
84,75,3
84,76,5
84,77,5
84,78,5
84,79,1
84,80,0
84,81,0
84,82,0
84,83,0
84,84,0
84,85,2
84,86,0
84,87,0
84,88,0
84,89,0
84,90,0
84,91,0
84,92,0
84,93,0
84,94,0
84,95,0
84,96,0
84,97,0
84,98,0
84,99,0
84,100,0
84,101,0
84,102,0
84,103,0
84,104,0
84,105,0
84,106,0
84,107,0
84,108,0
84,109,0
84,110,1
84,111,3
84,112,3
84,113,5
84,114,3
84,115,4
84,116,4
84,117,5
84,118,2
84,119,1
84,120,0
84,121,0
85,30,0
85,31,5
85,32,4
85,33,4
85,34,5
85,35,5
85,36,0
85,37,3
85,38,5
85,39,5
85,40,0
85,44,0
85,45,1
85,46,3
85,47,3
85,48,5
85,49,5
85,50,5
85,51,2
85,52,5
85,53,5
85,54,5
85,55,5
85,56,5
85,57,1
85,58,5
85,59,5
85,60,4
85,61,5
85,62,5
85,63,5
85,64,0
85,65,5
85,66,5
85,67,5
85,68,5
85,69,2
85,70,5
85,71,2
85,72,0
85,73,0
85,74,5
85,75,5
85,76,0
85,77,5
85,78,5
85,79,5
85,80,0
85,81,0
85,82,0
85,83,0
85,84,0
85,85,1
85,86,0
85,87,0
85,88,0
85,89,0
85,90,0
85,91,0
85,92,0
85,93,0
85,94,0
85,95,0
85,96,0
85,97,0
85,98,0
85,99,0
85,100,0
85,101,0
85,102,0
85,103,0
85,104,0
85,105,0
85,106,0
85,107,0
85,108,0
85,109,0
85,110,0
85,111,4
85,112,3
85,113,4
85,114,5
85,115,5
85,116,3
85,117,5
85,118,5
85,119,1
85,120,1
86,26,0
86,27,0
86,28,2
86,29,5
