"hour","x","y","twitter","instagram"
1,139,63,0,1
1,140,69,0,1
1,140,70,0,2
1,141,61,0,1
1,141,67,0,6
1,141,68,0,1
1,141,70,0,8
1,142,74,0,1
1,143,49,0,1
1,143,59,0,1
1,143,73,0,1
1,143,75,1,1
1,143,79,1,7
1,143,80,0,1
1,144,71,0,1
1,144,74,0,5
1,145,65,0,1
1,145,83,0,1
1,145,84,0,1
1,145,85,0,2
1,146,78,0,1
1,146,81,0,1
1,146,83,1,0
1,147,77,0,1
1,147,80,0,1
1,147,85,0,1
1,148,76,0,1
1,148,79,0,1
1,148,86,0,2
1,148,87,1,0
1,148,94,0,1
1,149,74,0,1
1,149,77,0,2
1,150,72,1,0
1,150,75,0,1
1,150,77,0,1
1,150,78,5,3
1,150,85,0,1
1,150,88,0,2
1,150,113,0,1
1,151,65,0,1
1,151,75,0,3
1,151,76,0,1
1,151,78,0,1
1,152,75,1,7
1,152,76,0,1
1,153,80,0,3
1,154,38,3,0
1,155,56,0,1
1,155,71,0,3
1,155,73,0,1
1,156,75,0,1
1,157,83,0,1
1,161,96,0,1
1,164,69,0,1
1,164,86,0,1
1,166,72,0,1
1,166,87,1,1
1,179,123,0,1
2,84,56,0,1
2,94,76,0,1
2,104,80,0,1
2,105,80,1,0
2,109,78,0,1
2,112,76,0,1
2,114,76,0,2
2,115,80,0,1
2,116,72,1,0
2,117,80,1,1
2,118,80,0,3
2,118,81,0,1
2,119,79,0,4
2,119,82,1,0
2,121,80,0,1
2,121,88,0,2
2,122,77,0,1
2,124,96,3,0
2,127,58,0,1
2,128,69,0,1
2,129,76,0,1
2,131,72,0,2
2,131,73,1,4
2,131,76,0,1
2,131,80,0,1
2,131,81,0,3
2,132,73,0,5
2,133,79,0,1
2,134,68,0,1
2,134,71,0,1
2,134,72,0,2
2,134,77,0,1
2,135,100,0,1
2,136,67,0,1
2,136,68,0,1
2,136,70,0,2
2,136,71,0,2
2,136,74,0,1
2,136,79,1,1
2,137,67,0,1
2,137,68,0,1
2,137,71,0,1
2,138,66,0,1
2,138,67,0,2
2,138,69,0,1
2,138,72,0,3
2,138,79,2,45
2,139,66,1,0
2,139,69,0,1
2,141,67,0,1
2,141,70,0,1
2,141,72,0,1
2,143,64,0,1
2,143,70,0,2
