"hour","x","y","twitter","instagram"
6,132,81,0,1
6,133,58,0,1
6,134,87,0,1
6,136,50,0,1
6,136,70,0,1
6,136,79,0,2
6,138,69,0,1
6,138,72,0,2
6,138,79,0,35
6,139,50,0,1
6,139,53,0,1
6,140,65,0,1
6,140,70,7,0
6,141,62,0,1
6,141,69,1,0
6,141,70,0,1
6,141,72,0,1
6,141,84,1,0
6,143,73,1,0
6,143,79,0,2
6,145,71,0,1
6,146,56,0,1
6,146,82,0,1
6,147,74,1,0
6,147,75,0,1
6,148,87,1,0
6,149,77,0,1
6,149,78,0,1
6,150,78,1,4
6,150,79,0,1
6,152,78,0,1
6,154,72,0,1
6,155,56,0,1
6,155,71,1,1
6,160,68,0,1
6,161,113,0,1
6,165,71,0,1
6,176,58,0,1
6,185,96,0,1
7,78,72,1,0
7,84,34,1,1
7,84,57,0,1
7,85,113,0,1
7,91,76,0,1
7,94,49,0,1
7,95,87,0,1
7,106,82,0,1
7,107,57,0,1
7,107,58,1,1
7,112,74,0,1
7,114,81,0,1
7,116,37,1,0
7,116,72,1,0
7,116,82,0,1
7,116,89,0,1
7,117,77,0,1
7,118,71,0,1
7,119,79,1,0
7,119,93,1,0
7,119,98,0,1
7,121,52,0,1
7,121,79,0,1
7,122,77,0,1
7,123,69,1,0
7,126,58,0,1
7,126,68,0,1
7,126,87,0,1
7,127,58,0,1
7,128,61,0,1
7,128,72,0,1
7,129,65,0,1
7,129,76,0,1
7,129,90,0,1
7,130,70,0,1
7,130,72,1,2
7,130,73,0,1
7,130,76,0,1
7,131,72,0,1
7,131,73,4,1
7,131,74,0,1
7,131,76,0,2
7,131,78,0,1
7,131,81,1,1
7,132,72,0,1
7,132,73,0,1
7,133,78,0,1
7,134,64,0,1
7,134,70,0,1
7,134,87,0,1
7,135,74,0,1
7,135,76,0,2
7,135,85,0,1
7,136,70,0,2
7,137,71,0,1
7,138,60,0,1
7,138,66,0,1
7,138,67,0,1
7,138,72,0,1
7,138,79,2,49
7,139,72,0,1
7,140,69,1,1
7,140,92,0,1
7,141,67,0,1
7,141,68,0,1
7,141,70,1,3
7,142,62,1,1
7,142,63,0,1
7,142,64,0,1
7,142,69,0,1
7,143,78,1,1
7,143,79,0,1
7,143,81,0,1
7,144,58,0,1
7,144,85,0,1
7,145,74,0,1
7,146,63,0,1
7,148,87,1,2
7,149,90,0,1
7,150,78,0,1
7,153,84,0,1
7,157,55,1,0
7,160,113,0,1
7,164,73,0,1
7,172,81,0,1
7,176,55,1,0
7,178,123,0,1
7,183,97,0,1
7,187,101,0,1
7,188,91,0,1
7,189,94,0,1
7,207,140,0,1
8,77,60,0,1
8,83,93,1,1
8,85,113,0,1
8,94,63,0,1
8,94,110,2,0
8,95,83,1,2
8,104,81,0,1
8,106,55,0,1
8,107,57,0,9
8,107,58,0,2
8,109,78,0,1
8,110,74,0,1
8,110,79,1,0
8,111,78,0,1
8,112,77,0,1
8,112,83,0,1
8,113,83,0,1
8,113,86,0,1
8,115,76,0,1
8,116,37,1,0
8,116,72,2,0
8,117,78,0,1
8,117,81,0,1
8,118,76,0,1
8,118,80,0,3
8,119,78,0,1
8,119,87,1,1
8,119,93,1,0
8,120,78,0,3
8,121,56,1,0
8,121,77,0,1
8,121,78,0,2
8,121,79,0,1
8,121,80,0,1
8,121,87,0,1
8,121,93,0,1
8,121,112,2,0
8,122,92,0,1
8,124,74,0,2
8,124,79,0,2
8,125,79,0,1
8,127,86,0,1
8,128,66,0,1
8,128,73,1,3
8,128,79,0,1
8,128,80,0,2
8,128,87,0,1
8,129,68,0,1
8,129,76,0,1
8,129,77,0,2
8,129,79,0,1
8,129,80,1,0
8,130,57,0,1
8,130,67,1,0
8,130,68,0,3
8,130,73,0,2
8,130,77,0,1
8,131,72,0,5
8,131,73,5,4
8,131,75,0,1
8,131,76,0,2
8,131,81,0,1
8,132,73,0,2
8,132,74,0,3
8,133,58,0,1
8,133,66,0,1
8,133,77,0,2
8,133,85,0,1
8,133,100,0,1
8,133,103,0,1
8,134,58,0,1
8,134,64,0,6
8,134,66,1,1
8,134,68,1,0
8,134,69,2,0
8,134,70,1,0
8,134,77,0,1
8,135,63,0,1
8,135,66,0,1
8,135,67,0,1
8,135,68,1,0
8,135,74,0,2
8,135,76,0,1
8,135,77,0,1
8,135,95,0,1
8,136,64,0,1
8,136,68,0,2
8,136,70,0,2
8,136,71,0,1
8,136,72,0,1
8,136,73,0,1
8,136,74,0,1
8,136,79,0,2
8,137,65,0,1
8,137,70,0,1
8,137,76,0,1
8,138,55,0,1
8,138,60,0,1
8,138,61,1,2
8,138,67,0,4
8,138,69,0,6
8,138,72,0,2
8,138,79,4,63
8,139,67,0,5
8,139,69,0,1
8,139,70,0,1
8,139,86,0,1
8,139,91,0,1
8,140,59,0,1
8,140,65,0,1
8,140,69,1,1
8,140,70,0,1
8,140,74,0,1
8,141,60,0,1
8,141,64,0,1
8,141,67,0,1
8,141,70,0,9
8,141,78,0,1
8,142,61,1,0
8,142,63,0,1
8,143,64,0,1
8,143,79,0,6
8,144,70,0,1
8,144,82,0,1
8,144,85,0,2
8,145,74,0,1
8,145,79,0,1
8,145,84,0,1
8,145,85,0,2
8,146,78,0,1
8,146,85,0,1
8,148,76,0,1
8,148,77,0,1
8,148,81,0,1
8,148,87,1,0
8,148,89,0,1
8,148,94,0,2
8,149,74,0,1
8,149,88,1,1
8,150,72,1,0
8,150,77,0,1
8,150,78,0,9
8,150,85,0,2
8,150,93,0,1
8,151,69,0,1
8,152,70,0,1
8,152,80,0,2
8,155,72,0,1
8,156,75,0,1
8,157,75,1,0
8,157,77,1,0
8,158,75,0,1
8,166,76,1,0
8,173,97,0,1
8,176,58,0,1
8,186,52,0,1
8,187,102,0,1
8,188,95,1,0
8,193,59,0,1
9,82,61,0,1
9,84,79,0,3
9,86,70,0,1
9,91,76,0,1
9,95,74,0,1
9,99,112,0,2
9,100,116,0,1
9,101,111,0,1
9,105,78,0,1
9,105,79,0,1
9,106,82,0,2
9,107,57,1,5
9,110,65,0,1
9,110,78,0,2
9,111,97,0,1
9,112,77,0,1
9,112,82,0,1
9,112,83,0,1
9,113,86,0,1
9,114,76,0,2
9,114,80,1,0
9,116,37,1,0
9,116,64,0,1
9,116,72,1,0
9,116,75,1,0
9,117,77,0,2
9,117,80,0,1
9,117,83,0,1
9,118,77,0,1
9,118,80,0,1
9,119,78,0,1
9,119,87,0,2
9,120,44,0,1
9,120,66,0,1
9,120,69,0,1
9,120,78,4,1
9,121,69,0,1
9,121,73,0,2
9,121,77,1,2
9,121,78,0,2
9,121,79,0,1
9,121,88,0,2
9,122,64,0,1
9,122,80,0,3
9,123,59,0,1
9,123,69,1,0
9,123,71,0,1
9,123,79,0,1
9,124,74,0,2
9,125,79,0,2
9,125,90,0,1
9,126,80,0,1
9,126,82,0,2
9,126,87,0,1
9,127,81,0,1
9,128,73,0,2
9,128,77,0,1
9,129,69,0,1
9,129,76,0,1
9,129,80,0,1
9,130,68,0,1
9,130,73,1,4
9,130,76,0,1
9,131,67,1,2
9,131,72,0,8
9,131,73,2,7
9,131,76,0,2
9,131,77,0,1
9,131,94,0,1
9,132,69,0,1
9,132,70,0,1
9,132,72,0,2
9,132,73,0,1
9,132,74,0,6
9,132,76,0,2
9,133,52,0,1
9,133,81,1,0
9,134,48,0,1
9,134,64,0,2
9,134,68,0,1
9,134,71,0,1
9,134,72,1,1
9,134,74,1,1
9,134,87,0,3
9,135,63,1,1
9,135,67,0,1
9,135,73,1,0
9,135,75,0,2
9,135,76,1,2
9,135,83,0,1
9,135,95,0,1
9,136,68,0,1
9,136,69,0,1
9,136,70,0,1
9,136,74,0,5
9,136,76,0,1
9,136,79,0,8
9,136,81,0,1
9,137,67,0,1
9,137,68,0,1
9,137,71,0,3
9,137,76,0,1
9,137,85,0,1
9,138,64,0,1
9,138,66,1,2
9,138,67,0,6
9,138,68,0,1
9,138,72,1,6
9,138,79,1,101
9,139,62,0,1
9,139,63,0,2
9,139,64,0,1
9,139,66,0,1
9,139,68,0,1
9,139,69,0,1
9,139,71,3,0
9,139,74,0,1
9,140,57,0,2
9,140,58,0,1
9,140,59,0,1
9,140,61,0,1
9,140,62,0,1
9,140,67,1,0
9,140,70,1,2
9,140,92,0,1
9,141,62,0,1
9,141,67,1,1
9,141,69,1,0
9,141,70,0,3
9,141,78,0,1
9,141,79,0,1
9,142,78,0,1
9,143,61,0,1
9,143,75,0,1
9,143,78,0,1
9,143,79,0,9
9,143,114,0,1
9,144,60,0,1
9,144,70,0,1
9,144,79,0,1
9,144,85,0,1
9,145,65,0,2
9,145,71,1,1
9,145,88,0,1
9,146,65,3,0
9,146,78,0,1
9,146,80,0,1
9,146,86,0,1
9,148,81,0,1
9,148,82,0,1
9,148,87,1,0
9,148,88,0,1
9,148,89,0,1
9,148,94,0,2
9,149,77,1,0
9,149,78,0,1
9,149,88,0,1
9,149,89,0,1
9,150,57,1,1
9,150,70,0,1
9,150,77,0,1
9,150,78,0,7
9,150,79,0,1
9,151,76,0,1
9,151,78,0,2
